product_rank,pid,productSku,commentId,score,country,date,user,comment,images
1,1436180227997962240,CJGY1281703,8653066,5,RU,2021-09-27,D***y,Perfect！！,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-10-15/c90b7b6a-333e-4ba8-b8fb-e5c4cdcb566c.jpg
1,1436180227997962240,CJGY1281703,8653067,5,RU,2021-09-27,A***g,"&quot;Thank you kindly seller for great product and very fast shipping! 
&quot;",
1,1436180227997962240,CJGY1281703,8653068,5,KR,2021-09-27,P***e,"It arrived very quickly in less than 2 weeks and I liked it! Everything is exactly as described, I was afraid it was hard but soft and flexible so as not to damage the pets, highly recommended!",
1,1436180227997962240,CJGY1281703,8653069,5,RU,2021-09-27,Y***z,"Good product, it&#39;s quite soft to the touch. I just need to bathe my dog and see if it&#39;ll accommodate him.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-10-15/2c13ab9b-44cb-47d3-a82b-7e5b46638ca6.jpg
1,1436180227997962240,CJGY1281703,8653071,5,RU,2021-09-27,W***o,"Thank you very much for the fast delivery! The product is very exquisite, it will be very convenient to bathe pets, a trusted seller~",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-10-15/681682be-e375-4e99-88a0-e9a0cb3eaf35.jpg
1,1436180227997962240,CJGY1281703,8653070,5,RU,2021-09-27,C***a,"You do your job, my dog has a perfectly good bath. It goes loose soap and rub well without hurting you&nbsp;",
1,1436180227997962240,CJGY1281703,8653072,5,RU,2021-09-27,L***o,"Silicone bath brush is very good quality, very soft and comfortable ~ all as described, it can be filled with soap water, 5 Star recommendation!",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-10-15/a8a8e427-384a-4a6b-bf81-c854652ad491.jpg
2,1368888013161107456,CJGY1035039,2605171103141948000,5,IT,2026-05-17,VantigoStore,,
2,1368888013161107456,CJGY1035039,2502050538301609601,5,CL,2025-01-11,L***i,"Muy necesario para quien tiene mascota en su casa, buen producto ",
2,1368888013161107456,CJGY1035039,2502050538301609600,5,CL,2024-08-25,Q***y,muy buenooo,
3,1648989475315396608,CJGY1739674,2603081207261606707,5,BR,2026-02-28,H***x,obrigado por ter solucionando tão rápido,
