rank,pid,product_sku,commentId,score,countryCode,commentUser,commentDate,comment,image_urls
1,1713087022329503744,CJMY1870790,1718878843479527424,5,US,B***p,2023-10-11T14:33:32+08:00,my baby cat loved it,
1,1713087022329503744,CJMY1870790,1718878988854108160,5,FR,U***y,2023-10-04T18:38:07+08:00,very cool,
1,1713087022329503744,CJMY1870790,1718878924949696512,5,US,U***m,2023-10-01T16:33:47+08:00,funny toy!,
2,1634099836821712896,CJGY1703014,1640264868328648704,5,US,K***x,2023-01-16T17:24:15+08:00,I and my dog are very satisfied,
2,1634099836821712896,CJGY1703014,1640264765131993090,4,FR,E***i,2023-01-13T02:28:53+08:00,Très jolie jouet,
3,2406120341111620600,CJYD2058496,2406130905431629900,5,US,A***q,2024-06-13T17:05:20+08:00,interesting,https://oss-cf.cjdropshipping.com/other/2024/06/17/06/ec56c092-8fae-4d20-ba1d-a013a3a00ee2.jpg
4,1633065187785846784,CJMY1700579,1638802073913405447,5,IL,R***b,2023-03-23T01:31:12+08:00,ממש ממליצה החתול לא מפסיק לשחק ממליצה משלוח מהיר,
4,1633065187785846784,CJMY1700579,1638802073913405443,5,US,J***f,2022-12-18T20:21:34+08:00,this is a very good product my cat loves it plays with it quite often it is reasonably priced not hard to put together came in great condition and it's an addition to our house thank you,
4,1633065187785846784,CJMY1700579,1638802073909211136,5,KR,E***a,2022-11-19T03:58:40+08:00,"설명서가 없는 건 아쉽지만 판매글 보면서 쉽게 조립했네요. 처음 도착하면 구성물이 안에 들어있는데, 하판은 반시계 방향으로 돌리면 빠집니다. 흰색 상판쪽에 방향이 오픈 클로즈가 써 있습니다. 모르고 막 당기시면 걸쇠가 부러질 수 있어요.",
4,1633065187785846784,CJMY1700579,1638802073913405445,5,IL,R***p,2022-11-05T19:04:46+08:00,Мои кошки в восторге  😊,
4,1633065187785846784,CJMY1700579,1638802073913405444,5,RU,U***k,2022-10-13T20:01:07+08:00,The delivery speed is fast and the packaging is very good to take back not very will use or sell tutor how do I use,
4,1633065187785846784,CJMY1700579,1638802073913405441,5,EU,L***h,2022-10-13T17:39:42+08:00,"The cat loves to play with this toy, which is given catnip, and it is very easy for the cat to accept this toy, which is especially loved by the cats at home",
4,1633065187785846784,CJMY1700579,1638802073913405442,5,RU,T***k,2022-10-13T09:09:39+08:00,Seller delivery speed is very fast little cat like to play the effect is very good,
4,1633065187785846784,CJMY1700579,1638802073913405440,5,RU,Q***f,2022-10-13T05:24:06+08:00,The two cats at home are particularly fond of playing by themselves for a long time. I recommend the seller,
4,1633065187785846784,CJMY1700579,1638802073913405446,5,SG,U***w,2022-10-13T05:19:30+08:00,perfect. Just like described. Thank you,
