rank,pid,product_sku,vid,variantSku,variantKey,variantSellPrice,variantSugSellPrice,variantWeight_g,L_mm,W_mm,H_mm,volume_mm3,barcode,inv_total,inv_cj,inv_factory,inv_by_country,verifiedWarehouse,createTime,variantImage,variantNameEn
1,1713087022329503744,CJMY1870790,2407110933301606000,CJMY187079001AZ,Orange sports car2.-USB,5.56,36.31,143.0,114,88,47,471504,1600004172765,10014,0,10014,CN:10014(cj 0),CN:2,2024-07-11,https://oss-cf.cjdropshipping.com/product/2024/07/11/09/23719ec1-ef7d-4b47-9815-363bac8d4cd3.jpg,Remote Control Interactive Cat Car Toy USB Charging Chasing Automatic Self-moving Remote Smart Control Car Interactive Cat Toy Pet Products Orange sports car2. USB
1,1713087022329503744,CJMY1870790,2407120108451627900,CJMY187079004DW,Blue Running Car2.-USB,5.56,36.31,143.0,114,88,47,471504,1600004174829,12361,0,12361,CN:12361(cj 0),CN:2,2024-07-12,https://oss-cf.cjdropshipping.com/product/2024/07/12/01/cdc2c176-ef29-4909-adf7-3d7a421787e0.jpg,Remote Control Interactive Cat Car Toy USB Charging Chasing Automatic Self-moving Remote Smart Control Car Interactive Cat Toy Pet Products Blue Running Car2. USB
1,1713087022329503744,CJMY1870790,2407211139121625000,CJMY187079005EV,Set-USB,11.12,72.62,258.0,250,180,150,6750000,1600004265880,11765,0,11765,CN:11765(cj 0),CN:2,2024-07-21,https://oss-cf.cjdropshipping.com/product/2024/07/21/11/7d8c107a-4c57-44cc-b89d-49a2f90d480c.jpg,Remote Control Interactive Cat Car Toy USB Charging Chasing Automatic Self-moving Remote Smart Control Car Interactive Cat Toy Pet Products Set USB
2,1634099836821712896,CJGY1703014,1634099836905598976,CJGY170301401AZ,Blue,1.78,11.63,138.0,200,180,50,1800000,1600000205786,12743,0,12743,CN:12743(cj 0),CN:2,2023-03-10,https://cf.cjdropshipping.com/8eb60202-4f59-4b5c-a438-5e3ee1c69fc8.jpg,Dog Chew Toy Dog Bone Type  Dogs Teeth Cleaning Toys Indestructible TPR Bone Chewing Bite Resistant Teething Toys  Pet Products Blue
2,1634099836821712896,CJGY1703014,1634099836960124928,CJGY170301402BY,Pink,1.78,16.41,138.0,200,180,50,1800000,1600000205787,11440,0,11440,CN:11440(cj 0),CN:2,2023-03-10,https://cf.cjdropshipping.com/ffaaa574-c5a2-449e-b2d3-bea5ed742ea2.jpg,Dog Chew Toy Dog Bone Type  Dogs Teeth Cleaning Toys Indestructible TPR Bone Chewing Bite Resistant Teething Toys  Pet Products Pink
2,1634099836821712896,CJGY1703014,1634099837018845184,CJGY170301403CX,Green,1.78,11.63,138.0,200,180,50,1800000,1600000205788,13158,0,13158,CN:13158(cj 0),CN:2,2023-03-10,https://cf.cjdropshipping.com/279e7b10-f165-4f13-a296-2906badea6f2.jpg,Dog Chew Toy Dog Bone Type  Dogs Teeth Cleaning Toys Indestructible TPR Bone Chewing Bite Resistant Teething Toys  Pet Products Green
2,1634099836821712896,CJGY1703014,2504151243471607700,CJGY170301404DW,Blue set,11.23,73.34,589.0,250,180,100,4500000,1600006526749,6983,0,6983,CN:6983(cj 0),CN:2,2025-04-15,https://oss-cf.cjdropshipping.com/product/2025/04/15/12/4595a05c-d397-4253-a8c0-7bba9952fcde.jpg,Dog Chew Toy Dog Bone Type  Dogs Teeth Cleaning Toys Indestructible TPR Bone Chewing Bite Resistant Teething Toys  Pet Products Blue set
3,2406120341111620600,CJYD2058496,2406120341111620800,CJYD205849601AZ,Shark Pirate Ship 65cm-1PCS,2.37,15.48,416.0,350,300,100,10500000,1600003919936,11415,0,11415,CN:11415(cj 0),CN:2,2024-06-12,https://oss-cf.cjdropshipping.com/product/2024/08/18/00/678825b5-7c47-4608-b7c8-d7d2623dc60c.jpg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Shark Pirate Ship 65cm 1PCS
3,2406120341111620600,CJYD2058496,2406120341111621200,CJYD205849602BY,Pond World 65cm-1PCS,2.37,16.91,416.0,350,300,100,10500000,1600003919937,11076,0,11076,CN:11076(cj 0),CN:2,2024-06-12,https://oss-cf.cjdropshipping.com/product/2024/06/12/03/cb6a2eca-cbf1-4240-9946-3585aa5d80d0_trans.jpeg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Pond World 65cm 1PCS
3,2406120341111620600,CJYD2058496,2406120341111621400,CJYD205849603CX,Undersea World 65cm-1PCS,2.58,16.85,416.0,350,300,100,10500000,1600003919938,13328,0,13328,CN:13328(cj 0),CN:2,2024-06-12,https://oss-cf.cjdropshipping.com/product/2024/06/12/03/82632f6d-a2d7-4ce7-92fb-1008dac291b0_trans.jpeg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Undersea World 65cm 1PCS
