rank,productSku,pid,commentId,score,countryCode,commentUser,commentDate,comment,commentUrls
4,CJGY1757445,1657574694545412096,1776859157354778625,5,IL,T***g,2024-04-05T19:36:54+08:00,отличный товар,
4,CJGY1757445,1657574694545412096,1776859157354778630,5,CA,X***l,2024-04-02T20:07:32+08:00,good toothbrush with reasonable price,
4,CJGY1757445,1657574694545412096,1776859157354778633,5,CL,N***j,2024-03-29T06:27:04+08:00,los 4 son cute,
4,CJGY1757445,1657574694545412096,1776859157354778626,5,MX,C***s,2024-03-29T02:28:20+08:00,"El envío fue muy rápido a CDMX 8 días, el producto es tal como lo muestra la descripción",
4,CJGY1757445,1657574694545412096,1776859157354778627,5,IL,T***c,2024-03-09T07:33:43+08:00,Полное соответствие картинке на сайте;дошёл в рамках обещанного времени доставки;хорошее качество.,
4,CJGY1757445,1657574694545412096,1776859157346390016,5,IL,R***t,2024-03-07T18:44:01+08:00,"נראה מעולה , הזמנתי הרבה למרות שאני רק עם 2 כלבים כי זה נאבד מהר",
4,CJGY1757445,1657574694545412096,1776859157354778628,5,LT,P***w,2024-02-22T05:49:12+08:00,"Perfect, just bigger than expected. But quality is amazing. Recomend",
4,CJGY1757445,1657574694545412096,1776859157358972934,3,FR,Z***e,2024-02-21T22:04:51+08:00,Conforme à la photo ,
4,CJGY1757445,1657574694545412096,1776859157354778632,5,ES,T***o,2024-02-15T11:28:35+08:00,Envio muy rápido. Buen material.,
4,CJGY1757445,1657574694545412096,1776859157354778624,5,PL,A***h,2024-02-10T23:31:21+08:00,Produkt zgodny ze zdjęciem. Jeszcze nie używano. Wyglądają ok. Dostawa dość szybka. Polecam sprzedawcę.,
4,CJGY1757445,1657574694545412096,1776859157363167232,1,AU,F***c,2024-02-01T09:32:59+08:00,Never received,
4,CJGY1757445,1657574694545412096,1776859157358972930,5,RO,O***q,2024-01-26T00:25:57+08:00,Thanks,
4,CJGY1757445,1657574694545412096,1776859157358972933,3,MX,U***b,2024-01-14T13:35:28+08:00,"lo hules son pequeños para mis dedos,son para niño o gente muy delgadas",
4,CJGY1757445,1657574694545412096,1776859157354778629,5,FR,J***v,2024-01-12T16:48:28+08:00,délai de livraison très rapide et conforme à ma commande,
4,CJGY1757445,1657574694545412096,1776859157358972929,5,US,N***j,2024-01-06T07:00:28+08:00,They work great! A++++,
4,CJGY1757445,1657574694545412096,1776859157350584320,5,NL,Z***e,2024-01-04T20:26:42+08:00,hele snelle levering zien er goed uit straks eens proberen bij de hond,
4,CJGY1757445,1657574694545412096,1776859161641357312,1,CL,T***n,2023-12-28T01:06:30+08:00,Nunca me llego,
4,CJGY1757445,1657574694545412096,1776859157354778631,5,ES,P***f,2023-12-06T04:27:15+08:00,Tal cual viene en las fotografías. Mi gato tiene curiosidad por ello. Muy suave al tacto,
4,CJGY1757445,1657574694545412096,1776859157358972932,5,ES,U***r,2023-12-04T08:01:09+08:00,Muy bueno,
4,CJGY1757445,1657574694545412096,1776859157358972928,5,FR,E***a,2023-11-29T18:20:23+08:00,La brosse un peu petite,
4,CJGY1757445,1657574694545412096,1776859157358972931,5,CL,J***j,2023-11-06T07:20:42+08:00,Muy bueno ,
