rank,productSku,pid,vid,variantSku,variantKey,variantSellPrice,variantSugSellPrice,variantWeight_g,L_mm,W_mm,H_mm,barcode,inv_country,totalInventory,cjInventory,factoryInventory,verifiedWarehouse,variantImage
1,CJJJCWGY04596,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,1F835590-9261-4BE0-8670-4E28D35388B5,CJJJCWGY04596-Fluorescent yellow,Fluorescent yellow,2.2,21.3,210.0,240,160,30,1598450071969,CN,23180,0,23180,2,https://cf.cjdropshipping.com/35374ec6-2211-426d-9e66-67fecf3f4ac0.jpg
1,CJJJCWGY04596,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,713D1881-39E5-46BD-B558-30276F2F2FA1,CJJJCWGY04596-Rose Red,Rose Red,2.2,13.56,210.0,240,160,30,1598450071966,CN,26462,0,26462,2,https://cf.cjdropshipping.com/e6740ae8-9bac-4dc4-bc79-d68e57b9b484.jpg
1,CJJJCWGY04596,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,84521141-EBF1-495A-8D96-4FA740690999,CJJJCWGY04596-Blue,Blue,2.2,20.22,210.0,240,160,30,1598450071965,CN,20941,0,20941,2,https://cf.cjdropshipping.com/c15def74-a4e9-4c79-a570-e9429c587615.jpg
1,CJJJCWGY04596,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,8A3E9820-973A-468F-8EB0-C44157E9669D,CJJJCWGY04596-Black,Black,2.2,15.1,210.0,240,160,30,1598450071968,CN,22872,0,22872,2,https://cf.cjdropshipping.com/cdb7672d-804d-4c31-8285-5bc427441a51.jpg
1,CJJJCWGY04596,BCCB2371-70C9-4C98-AEF6-A71D65DDF2A1,DC4F37D3-7BE0-4554-822F-B3ADC8C2D8B4,CJJJCWGY04596-Orange,Orange,2.2,21.62,210.0,240,160,30,1598450071967,CN,22601,0,22601,2,https://cf.cjdropshipping.com/cacd9fbb-7d11-4ac5-940b-f282ac958ee1.jpg
2,CJGY1548160,1561725514673967104,1561725514917236737,CJGY1548160-M,M,13.781,78.01,100.0,1800,760,10,1598452379772,CN,1521,1521,0,1,https://cf.cjdropshipping.com/6d8cdeae-359f-44b0-be3b-d96ce7a0277b.jpg
3,CJGY1742809,1650329494391508992,1650329494433452032,CJGY1742809-3m,3m,11.941,67.59,214.0,180,120,40,1600000634100,CN,14481,1620,12861,1,https://cf.cjdropshipping.com/a04a3911-7076-4279-992d-ca92415f2c84.jpg
3,CJGY1742809,1650329494391508992,1650329494433452033,CJGY1742809-5m,5m,15.621,88.42,214.0,180,120,40,1600000634101,CN,13719,1523,12196,1,https://cf.cjdropshipping.com/1c6e7858-180e-4887-9a7b-1e5189407638.jpg
4,CJGY1757445,1657574694545412096,1657574694587355136,CJGY1757445-Pink,Pink,6.421,36.35,16.0,149,30,36,1600000765860,CN,13301,1911,11390,1,https://cf.cjdropshipping.com/95bcd774-aee7-4a4a-b52f-7b97554ce614.jpg
4,CJGY1757445,1657574694545412096,1657574694587355137,CJGY1757445-Yellow,Yellow,6.421,36.35,16.0,149,30,36,1600000765859,CN,12958,1799,11159,1,https://cf.cjdropshipping.com/cb69542a-2c6b-4b80-b76a-a111e39ce9f6.jpg
4,CJGY1757445,1657574694545412096,1657574694587355138,CJGY1757445-Gray,Gray,6.421,36.35,16.0,149,30,36,1600000765861,CN,13753,1715,12038,1,https://cf.cjdropshipping.com/92aaabb2-44fd-4ee0-9029-e51ff4b09f73.jpg
4,CJGY1757445,1657574694545412096,1657574694587355139,CJGY1757445-3Pcs,3Pcs,9.181,51.97,16.0,149,30,36,1600000765862,CN,14890,1276,13614,1,https://cf.cjdropshipping.com/bb0dc32a-ca29-4bf5-a887-245cc1f90059.jpg
5,CJGY1803656,1681885622027833344,1681885622069776384,CJGY1803656-30x60CM,30x60CM,6.421,36.35,90.0,500,1000,10,1600001202071,CN,1339,1339,0,1,https://cf.cjdropshipping.com/83208fba-54f7-49f5-9d67-6d950ebade98.jpg
5,CJGY1803656,1681885622027833344,1681885622069776385,CJGY1803656-50x100CM,50x100CM,9.181,51.97,220.0,500,1000,10,1600001202070,CN,1421,1421,0,1,https://cf.cjdropshipping.com/83208fba-54f7-49f5-9d67-6d950ebade98.jpg
5,CJGY1803656,1681885622027833344,1681885622069776386,CJGY1803656-70x140CM,70x140CM,12.861,72.8,400.0,500,1000,10,1600001202072,CN,1424,1424,0,1,https://cf.cjdropshipping.com/83208fba-54f7-49f5-9d67-6d950ebade98.jpg
