rank,sku,pid,vid,variantSku,variantKey,sellPrice,sugSellPrice,weight_g,L,W,H,inv_CN_total,inv_CN_cj,inv_CN_factory,inv_US_total,variantImage
1,CJGX1597441,1585221163377242112,1585221163461128192,CJGX159744101AZ,Red,2.03,14.57,39.0,200,180,30,14955,1,14954,0,https://cf.cjdropshipping.com/7260c2ca-e244-4115-b5f3-faa39a38a7ca.jpg
1,CJGX1597441,1585221163377242112,1585221163465322496,CJGX159744102BY,Yellow,2.03,13.87,39.0,200,180,30,13252,1,13251,7,https://cf.cjdropshipping.com/7bbbfd4d-e8b5-4376-bdec-883042e6300f.jpg
1,CJGX1597441,1585221163377242112,1585221163465322497,CJGX159744103CX,Purple,2.03,14.54,39.0,200,180,30,12001,0,12001,0,https://cf.cjdropshipping.com/fb6eb985-4cfa-4ba0-8c6d-6a6ead76f4ed.jpg
1,CJGX1597441,1585221163377242112,1585221163469516800,CJGX159744104DW,Black,2.03,13.87,39.0,200,180,30,14380,0,14380,0,https://cf.cjdropshipping.com/ba2f978a-f3ef-442f-bf57-83b84aeaa3a4.jpg
1,CJGX1597441,1585221163377242112,1585221163469516801,CJGX159744105EV,Pink,2.03,15.54,39.0,200,180,30,14217,0,14217,18,https://cf.cjdropshipping.com/2f2c0d08-eb50-469d-a26d-25d35927eef4.jpg
1,CJGX1597441,1585221163377242112,1585221163473711104,CJGX159744106FU,Orange,2.03,14.09,39.0,200,180,30,13645,2,13643,0,https://cf.cjdropshipping.com/32dccf0c-16eb-48aa-a648-e82338943a2e.jpg
1,CJGX1597441,1585221163377242112,1585221163473711105,CJGX159744107GT,Sky Blue,2.03,14.26,39.0,200,180,30,13599,0,13599,24,https://cf.cjdropshipping.com/0a37c380-d6df-4a96-a32a-afcb7ed55d60.jpg
1,CJGX1597441,1585221163377242112,2601180147231608500,CJGX159744108HS,Black set,3.87,26.44,340.0,200,180,30,8350,0,8350,0,https://oss-cf.cjdropshipping.com/product/2026/01/18/01/df6beb9d-7cd3-493e-96a6-e3c5d6ae656d.jpg
1,CJGX1597441,1585221163377242112,2604020747501632200,CJGX159744109IR,AK28 white with keychain,2.95,20.15,31.0,200,180,30,5425,0,5425,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/2d535efa-8b79-493d-975b-ed751db85198.jpg
1,CJGX1597441,1585221163377242112,2604020754541617700,CJGX159744110JQ,Black set1,4.98,41.12,64.0,200,180,30,9541,0,9541,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/77f5d1bd-44d9-4599-ab6e-3eada74e5808.jpg
1,CJGX1597441,1585221163377242112,2604020754541618000,CJGX159744111KP,Orange set1,4.98,41.12,64.0,200,180,30,9976,0,9976,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/ded2711e-3d07-41b9-8efa-ae020946e100.jpg
1,CJGX1597441,1585221163377242112,2604020754541618400,CJGX159744112LO,Pink set1,4.98,34.29,64.0,200,180,30,9104,0,9104,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/63e23a15-5d5a-44ed-baaa-ccdfafb601b9.jpg
1,CJGX1597441,1585221163377242112,2604020754541618700,CJGX159744113MN,Purple set1,4.98,37.27,62.0,200,180,30,8015,0,8015,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/07dc7980-2cdc-430a-ab03-e0826435d7d7.jpg
1,CJGX1597441,1585221163377242112,2604020754541619000,CJGX159744114NM,Red set1,4.98,38.25,64.0,200,180,30,8792,0,8792,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/c643a97c-84bd-48b5-86ed-fdc73063b66e.jpg
1,CJGX1597441,1585221163377242112,2604020754541619300,CJGX159744115OL,Sky Blue set1,4.98,39.14,64.0,200,180,30,9349,0,9349,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/6e3b0751-b3d4-4b2a-b150-ce08f46eb7ae.jpg
1,CJGX1597441,1585221163377242112,2604020754541619600,CJGX159744116PK,Yellow set1,4.98,41.2,62.0,200,180,30,6632,0,6632,0,https://oss-cf.cjdropshipping.com/product/2026/04/02/07/43ed2902-628c-46ba-afe1-525da716d385.jpg
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,01276391-DE7D-4950-BC8B-5C07FD4F734D,CJJJCWGY00032-pink-XL-battery,pink-XL-battery,1.19,9.53,90.0,600,520,30,31482,1,31481,0,https://cf.cjdropshipping.com/15142464/1281905494128.png?bid=1794224373340057600
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,02CC758C-08E3-44A4-AB37-0E67FCCD5AD5,CJJJCWGY00032-orange-XL-battery,orange-XL-battery,1.19,10.38,90.0,600,520,30,28668,0,28668,0,https://cf.cjdropshipping.com/15142464/1207002688352.png?bid=1794224387999150080
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,082A9C44-6A80-4761-B272-8A62E771A6B4,CJJJCWGY00032-pink-XS-chargable,pink-XS-chargable,1.19,9.82,90.0,420,340,30,31025,0,31025,0,https://cf.cjdropshipping.com/15142464/4154077744321.png?bid=1794224400594644992
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,0CD1BE6F-1D76-463D-BDB1-708101C005BC,CJJJCWGY00032-pink-L-chargable,pink-L-chargable,1.19,11.11,90.0,520,450,30,30491,9,30482,0,https://cf.cjdropshipping.com/15142464/4154077744321.png?bid=1794224400594644992
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,0D3142E6-11A2-41F7-8D14-75129F74AFC1,CJJJCWGY00032-yellow-XL-battery,yellow-XL-battery,1.19,10.51,90.0,600,520,30,28030,0,28030,0,https://cf.cjdropshipping.com/15142464/3922876238320.png?bid=1794224410094743552
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,1446303108551544832,CJJJCWGY00032-Seven colors-XS-Battery,Seven colors-XS-Battery,1.19,8.13,63.0,430,350,30,40557,0,40557,0,https://cf.cjdropshipping.com/00dee0e0-7049-48df-ad59-2163d7b0f0c0.jpg?bid=1794224424779001856
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,1446303108559933440,CJJJCWGY00032-Seven colors-S-Battery,Seven colors-S-Battery,1.19,23.44,73.0,430,350,30,43402,0,43402,0,https://cf.cjdropshipping.com/00dee0e0-7049-48df-ad59-2163d7b0f0c0.jpg?bid=1794224424779001856
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,1446303108677373952,CJJJCWGY00032-Seven colors-M-Battery,Seven colors-M-Battery,1.19,15.4,83.0,430,350,30,40426,9,40417,0,https://cf.cjdropshipping.com/00dee0e0-7049-48df-ad59-2163d7b0f0c0.jpg?bid=1794224424779001856
2,CJJJCWGY00032,7BFA65D8-41B6-4316-A7F4-2EB2A34CA257,1446303108815785984,CJJJCWGY00032-Seven colors-L-Battery,Seven colors-L-Battery,1.19,15.2,93.0,430,350,30,35430,0,35430,0,https://cf.cjdropshipping.com/00dee0e0-7049-48df-ad59-2163d7b0f0c0.jpg?bid=1794224424779001856
