rank,sku,pid,vid,variantSku,variantKey,sellPrice,sugSellPrice,weight_g,L,W,H,inv_CN_total,inv_CN_cj,inv_CN_factory,inv_US_total,variantImage
1,CJGY1025454,1366573785234411520,1366573786647891968,CJGY102545401AZ,Pink,4.13,35.89,620.0,240,240,90,30000,0,30000,,https://cf.cjdropshipping.com/1614651331672.jpg
1,CJGY1025454,1366573785234411520,1366573786715000832,CJGY102545402BY,Blue,4.13,35.89,620.0,240,240,90,30000,0,30000,,https://cf.cjdropshipping.com/1614651331665.jpg
1,CJGY1025454,1366573785234411520,1366573786782109696,CJGY102545403CX,Grey,4.13,35.89,620.0,240,240,90,30000,0,30000,,https://cf.cjdropshipping.com/1614651331670.jpg
1,CJGY1025454,1366573785234411520,1366573786849218560,CJGY102545404DW,White,4.13,41.63,807.0,240,240,90,30000,0,30000,,https://cf.cjdropshipping.com/1614651331667.jpg
1,CJGY1025454,1366573785234411520,1643881125657448448,CJGY102545408HS,White 3pcs,11.69,101.59,2358.0,240,240,300,11859,0,11859,,https://cf.cjdropshipping.com/13d38eb3-047a-4622-9d2c-87be08c1b0cd.jpg
1,CJGY1025454,1366573785234411520,1646844518660059136,CJGY102545409IR,Blue 3pcs,11.69,101.59,1830.0,240,240,300,14700,0,14700,,https://cf.cjdropshipping.com/00a18efc-7984-4e1d-9ba1-3dd8e7cb779f.jpg
1,CJGY1025454,1366573785234411520,1646844518718779392,CJGY102545410JQ,Grey 3pcs,11.69,101.59,1833.0,240,240,300,11846,0,11846,,https://cf.cjdropshipping.com/bddb3619-4001-4ae0-9e4a-1c659f905a38.jpg
1,CJGY1025454,1366573785234411520,1646844518777499648,CJGY102545411KP,Pink 3pcs,11.69,101.59,1833.0,240,240,300,11609,0,11609,,https://cf.cjdropshipping.com/2cfb0114-fa53-4e1b-8796-bcdc841c9b38.jpg
1,CJGY1025454,1366573785234411520,1646844518836219904,CJGY102545412LO,2Blue1Grey,11.69,101.59,1831.0,240,240,300,14355,0,14355,,https://cf.cjdropshipping.com/8d1e39da-cb4d-441e-ac69-246521110a32.jpg
1,CJGY1025454,1366573785234411520,1646844518894940160,CJGY102545413MN,1Blue2Grey,11.69,101.59,1832.0,240,240,300,12306,0,12306,,https://cf.cjdropshipping.com/07e27d77-388b-4506-a635-d8ee5bfba18b.jpg
1,CJGY1025454,1366573785234411520,1646844518953660416,CJGY102545414NM,1Blue2Pink,11.69,101.59,1832.0,240,240,300,13294,0,13294,,https://cf.cjdropshipping.com/be478328-3549-4c9c-9abb-efc4e3221a05.jpg
1,CJGY1025454,1366573785234411520,1646844519012380672,CJGY102545415OL,2Blue1Pink,11.69,101.59,1831.0,240,240,300,13933,0,13933,,https://cf.cjdropshipping.com/f9c56338-cc6c-4efc-ae80-a685d8d21a98.jpg
1,CJGY1025454,1366573785234411520,1646844519071100928,CJGY102545416PK,2Blue1White,11.69,101.59,2006.0,240,240,300,13396,0,13396,,https://cf.cjdropshipping.com/5215194a-9830-4d7f-97d9-05958926b853.jpg
1,CJGY1025454,1366573785234411520,1646844519125626880,CJGY102545417QJ,1Blue2White,11.69,101.59,2182.0,240,240,300,11395,0,11395,,https://cf.cjdropshipping.com/11ce8322-d227-4067-a517-f38d45fe8ba5.jpg
1,CJGY1025454,1366573785234411520,1646844519180152832,CJGY102545418RI,2Pink1White,11.69,101.59,2008.0,240,240,300,13839,0,13839,,https://cf.cjdropshipping.com/6184c405-f982-4ea3-a29c-e62ac26b299a.jpg
1,CJGY1025454,1366573785234411520,1646844519238873088,CJGY102545419SH,1Pink2White,11.69,101.59,2183.0,240,240,300,10512,0,10512,,https://cf.cjdropshipping.com/a031f119-4486-4938-93de-2b34b387cdc0.jpg
1,CJGY1025454,1366573785234411520,1646844519293399040,CJGY102545420TG,2Pink1Grey,11.69,101.59,1833.0,240,240,300,14859,0,14859,,https://cf.cjdropshipping.com/dd054580-a919-45a4-acbe-27a2e856af54.jpg
1,CJGY1025454,1366573785234411520,1646844519347924992,CJGY102545421UF,1Pink2Grey,11.69,101.59,1833.0,240,240,300,10192,0,10192,,https://cf.cjdropshipping.com/ab018cd2-1ecd-47ef-925d-4a4aadc2fad7.jpg
1,CJGY1025454,1366573785234411520,1658366682760486912,CJGY102545422VE,Grey 2pcs,7.79,67.7,1222.0,240,240,300,14304,0,14304,,https://cf.cjdropshipping.com/ef6c73d7-09dd-43ea-a601-c87e6aaa9729.jpg
1,CJGY1025454,1366573785234411520,1708795443548786688,CJGY102545423WD,Pink 2L,4.7,40.85,670.0,240,240,90,11692,0,11692,,https://cf.cjdropshipping.com/ac13aa7c-df6b-4080-96d2-072926b504a1.png
1,CJGY1025454,1366573785234411520,1708795443611701248,CJGY102545424XC,White 2L,4.7,40.85,924.0,240,240,90,10142,0,10142,,https://cf.cjdropshipping.com/6fc9eda7-0548-4706-b8c5-48fb8577b7cd.png
1,CJGY1025454,1366573785234411520,1708795443674615808,CJGY102545425YB,Grey 2L,4.7,40.85,670.0,240,240,90,11783,0,11783,,https://cf.cjdropshipping.com/79849b9e-4320-40eb-b694-2c71dc6d9410.png
1,CJGY1025454,1366573785234411520,1708795443737530368,CJGY102545426ZA,Blue 2L,4.7,40.85,670.0,240,240,90,13544,0,13544,,https://cf.cjdropshipping.com/a810d295-7e9d-4488-ac63-a5799b78f2b0.png
1,CJGY1025454,1366573785234411520,2608260925351609100,CJGY102545427AZ,Set,11.15,96.9,953.0,240,240,300,7077,0,7077,,https://oss-cf.cjdropshipping.com/product/2026/08/26/09/396f1f4a-087f-437a-ad2b-9cdf43e5b9a8.jpg
