rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
1,CJJT1006521,1357289526732656640,1667007503428751363,2023-06-09T19:41:21+08:00,5,MX,P***g,excelente 👌 a mis gatos 🐱 les encantan,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-06-09/5fecf31d-6976-4a93-aa9b-1bbe30d8329d.jpg
1,CJJT1006521,1357289526732656640,1667007503428751361,2023-06-09T04:26:19+08:00,5,MX,O***v,excelente 👌,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-06-09/d7f8d58d-fdf1-48f2-b2d5-13de81331a92.jpg
1,CJJT1006521,1357289526732656640,1667007503428751362,2023-06-08T05:35:07+08:00,5,IT,N***h,Perfetto e Co segnato prima del previsto 👍,
1,CJJT1006521,1357289526732656640,1667007503424557056,2023-06-07T23:07:42+08:00,3,US,J***w,too small,
1,CJJT1006521,1357289526732656640,1667007492309651456,2023-06-06T09:37:17+08:00,5,BG,F***r,"Fast shipping, the product came really fast, before the end day. It came today 06.06 and the end date was 27.06, so I'm really happy! It was well packed, it's in perfect condition, no smell. It's beautiful and you can feel the cold on the pad inside, so it's perfect for the summer, for cats or small dogs. It's easy for cleaning and I see you can wash it, so it's good product.We still didn't try it with the cat, but when we do, I'll try to take photos to see if she likes it.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-06-09/e1a6e9a4-edfd-4dec-9ce7-f0bf6afe0310.jpg
1,CJJT1006521,1357289526732656640,1667007492313845760,2023-06-06T07:15:28+08:00,5,ES,T***z,"Mis dos Gaticos no se acomodaban con ninguna cama, gaste mucho dinero buscándoles una que usarán  y me quede encantada con estas, fue desempacarlas  y desde ese mismo momento se quedaron a dormir en ellas toda la tarde y no cambian estas camas por ningún sillón, son maravillosas, sencillas pero maravillosas.  Gracias Vendedor y muy cumplidos son el envio",
1,CJJT1006521,1357289526732656640,1667007492334817282,2023-06-03T23:56:31+08:00,5,FR,K***u,Maurice est très content,
1,CJJT1006521,1357289526732656640,1667007492313845763,2023-06-02T23:59:43+08:00,5,UA,R***g,"Гарна якість. Але треба брати більше за розміром.
рашисти идите на х..й и в пекло",
1,CJJT1006521,1357289526732656640,1667007492334817281,2023-05-29T06:34:20+08:00,5,HK,D***q,Excellent my furkid love it thank you . ,
1,CJJT1006521,1357289526732656640,1667007492334817286,2023-05-24T21:38:21+08:00,5,ES,G***i,everything ok,
