rank,sku,pid,vid,variantSku,variantKey,sellPrice,sugSellPrice,weight_g,L,W,H,inv_CN_total,inv_CN_cj,inv_CN_factory,inv_US_total,variantImage
1,CJJT1006521,1357289526732656640,1357289526749433856,CJJT100652101AZ,Blue-S,2.64,25.11,338.0,450,400,50,30000,0,30000,,https://cf.cjdropshipping.com/1612437836175.jpg
1,CJJT1006521,1357289526732656640,1357289526749433857,CJJT100652102BY,Blue-M,4.13,39.28,482.0,450,400,50,30000,0,30000,,https://cf.cjdropshipping.com/1612437836175.jpg
1,CJJT1006521,1357289526732656640,1357289526749433858,CJJT100652103CX,Red-S,2.56,34.07,340.0,450,400,50,30000,0,30000,6,https://cf.cjdropshipping.com/1612437836164.jpg
1,CJJT1006521,1357289526732656640,1357289526749433859,CJJT100652104DW,Red-M,4.13,39.28,471.0,450,400,50,30000,0,30000,2,https://cf.cjdropshipping.com/1612437836164.jpg
1,CJJT1006521,1357289526732656640,1408995506419535872,CJJT100652105EV,Blue-L,4.96,47.17,790.0,500,400,50,25434,0,25434,,https://cf.cjdropshipping.com/1612437836175.jpg
1,CJJT1006521,1357289526732656640,1408995506432118784,CJJT100652106FU,Red-L,4.96,47.17,894.0,500,400,50,27680,0,27680,,https://cf.cjdropshipping.com/1612437836164.jpg
1,CJJT1006521,1357289526732656640,1788039037874352128,CJJT100652108HS,Blue set-M,5.71,54.31,761.0,450,400,80,11270,0,11270,,https://oss-cf.cjdropshipping.com/product/2024/05/08/02/efd3a554-f943-4dec-84d4-c5cf50b96410.jpg
1,CJJT1006521,1357289526732656640,1792393836929486848,CJJT100652110JQ,Blue set1-L,6.75,64.2,1072.0,500,400,100,14120,0,14120,,https://oss-cf.cjdropshipping.com/product/2024/05/20/02/7daa4810-f5bb-4285-aaf0-743fae0f2dfd.jpg
1,CJJT1006521,1357289526732656640,1792393837025955840,CJJT100652113MN,Red set-L,6.75,64.2,1174.0,500,400,100,10727,0,10727,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/dda6a81d-d8dc-4740-a621-822e9c960357.jpg
1,CJJT1006521,1357289526732656640,1792394996033794048,CJJT100652116PK,Blue set2-L,6.75,64.2,1073.0,500,400,100,11031,0,11031,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/b13808bb-5cc1-4c33-ada0-8272f5074dd5.jpg
1,CJJT1006521,1357289526732656640,1792394996096708608,CJJT100652119SH,Red set1-L,6.75,64.2,1175.0,500,400,100,14812,0,14812,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/ca713251-2e65-4a11-9972-6872561c6c12.jpg
1,CJJT1006521,1357289526732656640,1792395749746020352,CJJT100652122VE,Blue set3-L,6.75,78.94,1072.0,500,400,100,11028,0,11028,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/66ef651b-cf7d-41b2-a48c-07d2c8f21a73.jpg
1,CJJT1006521,1357289526732656640,1792395749813129216,CJJT100652125YB,Red set2-L,6.75,64.2,1174.0,500,400,100,14945,0,14945,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/fc6445d2-6dcf-49fa-a127-8ab9408020b1.jpg
1,CJJT1006521,1357289526732656640,1792396733285146624,CJJT100652128BY,Blue set4-L,6.49,61.72,1071.0,500,400,50,10364,0,10364,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/0bb7bbca-52f7-4fd2-b00a-6e3b9283e78b.jpg
1,CJJT1006521,1357289526732656640,1792396733352255488,CJJT100652131EV,Red set3-L,6.49,61.72,1173.0,500,400,50,10874,0,10874,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/36277c0f-471b-479b-8733-3b862d1ad4dd.jpg
1,CJJT1006521,1357289526732656640,1792399634560720896,CJJT100652134HS,Blue set5-L,6.49,61.72,1071.0,500,400,100,14412,0,14412,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/091984f9-8827-46af-9d42-de31e976327c.jpg
1,CJJT1006521,1357289526732656640,1792399634627829760,CJJT100652137KP,Red set4-L,6.49,61.72,1173.0,500,400,100,13488,0,13488,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/58e74ec6-2445-465b-b58d-ee119f272182.jpg
1,CJJT1006521,1357289526732656640,1792399634694938624,CJJT100652140NM,Blue set6-L,6.49,61.72,1069.0,500,400,100,13908,0,13908,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/490d3917-2767-44cb-aa99-f0a1eca91f4c.jpg
1,CJJT1006521,1357289526732656640,1792399634757853184,CJJT100652143QJ,Red set5-L,6.49,61.72,1171.0,500,400,100,10146,0,10146,,https://oss-cf.cjdropshipping.com/product/2024/05/20/03/ff6c2939-7c86-4038-bff9-9db094ef4164.jpg
1,CJJT1006521,1357289526732656640,2505240228561601200,CJJT100652146TG,5pcs set2-L,48.38,460.1,1809.0,800,600,200,9693,0,9693,,https://oss-cf.cjdropshipping.com/product/2025/05/24/02/c27ffad9-6841-4f2b-81ca-05a9c04363d1.jpg
1,CJJT1006521,1357289526732656640,2505240228561601500,CJJT100652147UF,5pcs set2-M,47.6,452.68,1499.0,800,600,200,9991,0,9991,,https://oss-cf.cjdropshipping.com/product/2025/05/24/02/d7420403-0c08-455a-992b-677bb54d3af7.jpg
1,CJJT1006521,1357289526732656640,2505240228561601700,CJJT100652148VE,5pcs set2-S,46.19,439.27,1338.0,800,600,200,6785,0,6785,,https://oss-cf.cjdropshipping.com/product/2025/05/24/02/7b3e1bb3-17a5-4e0e-8ed2-469b835fed2f.jpg
